EmbryoID,CellCycle,Stage,RNAi,ASI_1,ASI_2,ASI_3,ASI_4,ASI_5,ASI_6,ASI_7,ASI_8,ASI_9,ASI_10,ASI_11,ASI_12,ASI_13,ASI_14,ASI_15,ASI_16,ASI_17,ASI_18,ASI_19,ASI_20,ASI_21,ASI_22,ASI_23,ASI_24,ASI_25,ASI_26,ASI_27,ASI_28,ASI_29,ASI_30,ASI_31,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,ASI_Norm_1,ASI_Norm_2,ASI_Norm_3,ASI_Norm_4,ASI_Norm_5,ASI_Norm_6,ASI_Norm_7,ASI_Norm_8,ASI_Norm_9,ASI_Norm_10,ASI_Norm_11,ASI_Norm_12,ASI_Norm_13,ASI_Norm_14,ASI_Norm_15,ASI_Norm_16,ASI_Norm_17,ASI_Norm_18,ASI_Norm_19,ASI_Norm_20,ASI_Norm_21,ASI_Norm_22,ASI_Norm_23,ASI_Norm_24,ASI_Norm_25,ASI_Norm_26,ASI_Norm_27,ASI_Norm_28,ASI_Norm_29,ASI_Norm_30,ASI_Norm_31
29May22_kk1216_cdc42RNAi_CH2_Stage2_proMeet,50,early maint.,cdc42RNAi,0.590774294,0.40657309,0.387546291,0.465804607,0.40466693,0.40891845,0.42282507,0.421019004,0.420511149,0.41211678,0.370171091,0.365393865,0.371600278,0.358437028,0.361934045,0.329952996,0.348050256,0.326355513,0.327725443,0.330801684,0.338199096,0.350566114,0.336500425,0.360700114,0.353563026,0.345687056,0.365633006,0.371402894,,,,0,2.166666667,4.333333333,6.5,8.666666667,10.83333333,13,15.16666667,17.33333333,19.5,21.66666667,23.83333333,26,28.16666667,30.33333333,32.5,34.66666667,36.83333333,39,41.16666667,43.33333333,45.5,47.66666667,49.83333333,52,54.16666667,56.33333333,58.5,,,,1.160467559,0.798638137,0.761263486,0.91498757,0.794893836,0.803245166,0.830562165,0.827014481,0.826016892,0.809527697,0.727133097,0.717749114,0.729940473,0.704083686,0.710952933,0.648132039,0.683680782,0.641065444,0.64375642,0.649799131,0.664329988,0.688622722,0.66099326,0.708529104,0.694509605,0.67903871,0.718218864,0.729552747,,,
29May22_kk1216_cdc42RNAi_CH2_Stage3_proMeet,41.7,early maint.,cdc42RNAi,0.345380092,0.361659626,0.442862013,0.432554485,0.446415405,0.419091646,0.426993492,0.410262706,0.367444562,0.388606655,0.404661928,0.394382374,0.364681507,0.41267849,0.391777333,0.414437388,0.39499558,0.396759871,0.376447726,0.386162792,0.381938083,0.394124197,0.392089932,0.374652624,0.356674715,0.385286337,0.3772453,0.379511185,,,,0,2.166666667,4.333333333,6.5,8.666666667,10.83333333,13,15.16666667,17.33333333,19.5,21.66666667,23.83333333,26,28.16666667,30.33333333,32.5,34.66666667,36.83333333,39,41.16666667,43.33333333,45.5,47.66666667,49.83333333,52,54.16666667,56.33333333,58.5,,,,0.844909318,0.884734225,1.083381037,1.05816555,1.09207376,1.025231173,1.044561598,1.003632785,0.898886014,0.95065521,0.989931503,0.964784453,0.892126705,1.009542558,0.958411696,1.013845383,0.966284549,0.970600565,0.920910611,0.944676746,0.934341767,0.964152869,0.959176413,0.916519223,0.872539551,0.942532658,0.92286173,0.928404806,,,
29May22_kk1216_cdc42RNAi_CH2_Stage4_centration,50,late maint.,cdc42RNAi,0.465869676,0.415197337,0.452225693,0.489276443,0.389499471,0.376523852,0.454158059,0.352810795,0.405314913,0.311900672,0.35826531,0.32493127,0.304194191,0.319200579,0.294560997,0.314481017,0.345217262,0.321411407,0.319243519,0.330602171,0.316039183,0.321031109,0.329745569,0.344998343,0.324217782,0.344824714,0.296803163,0.323960986,,,,0,2.166666667,4.333333333,6.5,8.666666667,10.83333333,13,15.16666667,17.33333333,19.5,21.66666667,23.83333333,26,28.16666667,30.33333333,32.5,34.66666667,36.83333333,39,41.16666667,43.33333333,45.5,47.66666667,49.83333333,52,54.16666667,56.33333333,58.5,,,,0.973122643,0.867276731,0.944622679,1.022015404,0.813598253,0.786494388,0.948659063,0.736961838,0.846634025,0.651507539,0.748355394,0.678726245,0.63541001,0.666755806,0.615287902,0.656897442,0.721100239,0.67137385,0.666845499,0.690571794,0.660152186,0.670579471,0.688782499,0.720642953,0.67723589,0.720280272,0.619971407,0.676699487,,,
29May22_kk1216_cdc42RNAi_CH3_Stage2_centration,58.3,late maint.,cdc42RNAi,0.411873754,0.579402591,0.403580264,0.382291522,0.295019561,0.233274724,0.187265192,0.234133481,0.148157158,0.105107768,0.11786762,0.167732485,0.107436868,0.102713448,0.110263177,0.067364369,0.102190642,0.072302235,0.076191524,0.0606575,0.074961151,0.082327829,0.066826356,0.093171013,0.094147002,0.07948852,0.104373969,0.089740263,,,,0,2.166666667,4.333333333,6.5,8.666666667,10.83333333,13,15.16666667,17.33333333,19.5,21.66666667,23.83333333,26,28.16666667,30.33333333,32.5,34.66666667,36.83333333,39,41.16666667,43.33333333,45.5,47.66666667,49.83333333,52,54.16666667,56.33333333,58.5,,,,0.779030174,1.095899162,0.763343624,0.723077469,0.558008706,0.441222698,0.354198911,0.442846976,0.280228823,0.198803935,0.222938295,0.317254173,0.203209262,0.194275247,0.208555028,0.127414956,0.193286396,0.136754581,0.144110896,0.114729387,0.141783733,0.155717286,0.126397342,0.176226403,0.178072418,0.150346934,0.197416006,0.169737382,,,
29May22_kk1216_cdc42RNAi_CH3_Stage3_proMeet,41.7,early maint.,cdc42RNAi,0.386928719,0.464885507,0.542556739,0.490956528,0.488729306,0.501912836,0.481193568,0.52571791,0.507143577,0.451960251,0.537140566,0.521698338,0.467612216,0.513704621,0.491963244,0.466007862,0.476190965,0.531639099,0.477832168,0.459301291,0.541722744,0.477335657,0.578029228,0.573055851,0.539432207,0.588448097,0.556875363,0.511977361,,,,0,2.166666667,4.333333333,6.5,8.666666667,10.83333333,13,15.16666667,17.33333333,19.5,21.66666667,23.83333333,26,28.16666667,30.33333333,32.5,34.66666667,36.83333333,39,41.16666667,43.33333333,45.5,47.66666667,49.83333333,52,54.16666667,56.33333333,58.5,,,,0.809416255,0.972494072,1.134974536,1.027032046,1.02237292,1.049951549,1.006608909,1.099749386,1.060893736,0.945455727,1.123644444,1.091340843,0.978198077,1.074618786,1.029137996,0.974841927,0.996143962,1.112135923,0.999577195,0.96081245,1.133229903,0.998538543,1.209179442,1.198775634,1.128438327,1.230974676,1.164927668,1.07100553,,,
29May22_kk1216_cdc42RNAi_CH3_Stage4_postNEBD,83.3,late maint.,cdc42RNAi,0.453914543,0.462740459,0.45667931,0.401162385,0.479538903,0.364198631,0.279545981,0.261206246,0.207627251,0.179998036,0.212946611,0.174157442,0.165817696,0.142747376,0.155755399,0.119012492,0.138658396,0.145804957,0.126880624,0.104200014,0.094589514,0.077176327,0.112950108,0.085298341,0.102226575,0.109152138,0.117113721,0.1061114,,,,0,2.166666667,4.333333333,6.5,8.666666667,10.83333333,13,15.16666667,17.33333333,19.5,21.66666667,23.83333333,26,28.16666667,30.33333333,32.5,34.66666667,36.83333333,39,41.16666667,43.33333333,45.5,47.66666667,49.83333333,52,54.16666667,56.33333333,58.5,,,,0.868954707,0.885850666,0.874247459,0.767968218,0.918008893,0.697206378,0.535150945,0.500042134,0.397472785,0.34458059,0.407655941,0.333399605,0.317434349,0.273269508,0.298171514,0.227832456,0.265441739,0.279122812,0.242894874,0.199476078,0.181078146,0.14774308,0.216226885,0.163291518,0.195698209,0.208956213,0.224197529,0.203135153,,,
02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,91.6,late maint.,ctrlRNAi,0.418629268,0.444760275,0.422206697,0.447718082,0.457595993,0.453362303,0.449830067,0.488807028,0.459386367,0.452645084,0.439568118,0.441986655,0.410784031,0.429587664,0.452029587,0.440279091,0.454770245,0.43119239,0.441041464,0.454343475,0.427515931,0.412424203,0.418245034,0.416745834,0.411950459,0.438315562,,,,,,0,2.333333333,4.666666667,7,9.333333333,11.66666667,14,16.33333333,18.66666667,21,23.33333333,25.66666667,28,30.33333333,32.66666667,35,37.33333333,39.66666667,42,44.33333333,46.66666667,49,51.33333333,53.66666667,56,58.33333333,,,,,,0.928638242,0.986604215,0.936573992,0.993165467,1.01507747,1.005685948,0.997850448,1.084312383,1.019049027,1.004094954,0.975086541,0.980451541,0.911235285,0.952947069,1.002729608,0.976663679,1.008809164,0.956506805,0.97835484,1.007862466,0.948351376,0.914873652,0.927785903,0.924460254,0.913822755,0.972308018,,,,,
11Jun22_kk1216_ctrlRNAi_CH4_Stage1_centration,66.7,late maint.,ctrlRNAi,0.455223534,0.475385178,0.465683191,0.485981528,0.484260682,0.503041773,0.43946287,0.491324976,0.469051592,0.440034149,0.434726193,0.431438086,0.464132266,0.461622758,0.46118859,0.451067472,0.431495812,0.41591245,0.44422142,0.423232854,0.459759986,0.442850445,0.435250372,0.438067383,0.41477804,0.430944405,0.430525758,0.461658052,0.426203015,0.458145693,,0,2.066666667,4.133333333,6.2,8.266666667,10.33333333,12.4,14.46666667,16.53333333,18.6,20.66666667,22.73333333,24.8,26.86666667,28.93333333,31,33.06666667,35.13333333,37.2,39.26666667,41.33333333,43.4,45.46666667,47.53333333,49.6,51.66666667,53.73333333,55.8,57.86666667,59.93333333,,0.947949533,0.989933787,0.969730539,1.011999441,1.008415981,1.047525396,0.915129801,1.023126544,0.976744839,0.916319422,0.905266228,0.898419131,0.96650092,0.961275164,0.96037106,0.93929502,0.898539339,0.866088817,0.925038921,0.8813327,0.95739616,0.922184027,0.906357768,0.912223864,0.863726541,0.897391098,0.896519315,0.96134866,0.887517711,0.954034584,
11Jun22_kk1216_ctrlRNAi_CH4_Stage2_postNEBD,91.6,late maint.,ctrlRNAi,0.343833013,0.333778555,0.448906732,0.387469521,0.436040546,0.393261211,0.459290224,0.384228165,0.417897297,0.401051678,0.417124572,0.435490163,0.424316323,0.387409721,0.405014027,0.405991535,0.420861883,0.377976849,0.38646075,0.408699542,0.412589738,0.376206043,0.430741044,0.359642863,0.396475936,0.381934239,0.357233048,0.396222594,0.370506815,0.415719001,,0,2.066666667,4.133333333,6.2,8.266666667,10.33333333,12.4,14.46666667,16.53333333,18.6,20.66666667,22.73333333,24.8,26.86666667,28.93333333,31,33.06666667,35.13333333,37.2,39.26666667,41.33333333,43.4,45.46666667,47.53333333,49.6,51.66666667,53.73333333,55.8,57.86666667,59.93333333,,0.84807528,0.823275633,1.107243016,0.955706144,1.075508151,0.969991535,1.132854236,0.947711232,1.03075724,0.989206975,1.028851287,1.074150613,1.046589976,0.955558643,0.998980236,1.001391292,1.038069487,0.932292159,0.953217976,1.008070679,1.017665973,0.927924409,1.062436757,0.887070789,0.977920757,0.942053191,0.8811269,0.977295882,0.913867079,1.025384402,
11Jun22_kk1216_ctrlRNAi_CH4_Stage5_centration,66.7,late maint.,ctrlRNAi,0.551646359,0.419877856,0.556863389,0.433432117,0.461786701,0.347651479,0.362457164,0.34710741,0.330308986,0.387421183,0.364269522,0.385259597,0.34123697,0.342144846,0.352438274,0.380192994,0.35340121,0.348394054,0.362401155,0.410393686,0.350855317,0.382667147,0.369440154,0.355553468,0.344537114,0.349740916,0.347002801,0.373945832,0.407084982,0.430297857,,0,2.066666667,4.133333333,6.2,8.266666667,10.33333333,12.4,14.46666667,16.53333333,18.6,20.66666667,22.73333333,24.8,26.86666667,28.93333333,31,33.06666667,35.13333333,37.2,39.26666667,41.33333333,43.4,45.46666667,47.53333333,49.6,51.66666667,53.73333333,55.8,57.86666667,59.93333333,,1.008084342,0.767289197,1.017617998,0.792058397,0.843873859,0.635301959,0.662358023,0.634307721,0.603610105,0.707977533,0.665669945,0.704027428,0.623580018,0.62523908,0.644049398,0.694768665,0.645809078,0.636658949,0.662255671,0.749957725,0.641156687,0.699289958,0.675118812,0.649742135,0.629610735,0.639120217,0.634116558,0.683352535,0.743911366,0.786330817,
