"","Embryo","RNAiSimple","StageSimple","TimeMin","NumParticleFrameNormAreaPAratio"
"49","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",8,0.629482665317904
"50","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",9,0.673952480638739
"51","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",10,0.691027282681747
"52","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",11,0.664092079458937
"53","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",12,0.688383045630669
"54","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",13,0.677343574113792
"55","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",14,0.654966392930151
"56","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",15,0.639361691453205
"57","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",16,0.662498633396721
"58","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",17,0.650561721083266
"59","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",18,0.655864389978915
"60","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",19,0.72393334376183
"61","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",20,0.719281902884856
"62","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",21,0.735031378512896
"63","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",22,0.735031378512896
"64","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",23,0.745921973362073
"65","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",24,0.796326678138013
"66","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",25,0.808082137808912
"67","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",26,0.813119843444027
"68","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",27,0.778962060770753
"69","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",28,0.826993298950146
"70","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",29,0.80594141785985
"71","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",30,0.776654576405355
"72","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",31,0.763378429800135
"73","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",32,0.773013570457548
"74","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",33,0.745995361985977
"75","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",34,0.764961345765282
"76","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",35,0.771499476925668
"77","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",36,0.774502217039311
"78","02Jun22_kk1216_pkc3RNAi_43h_CH5_postNEBD_1","pkc3","late maint.",37,0.800136853631497
